Periodo,Indice
202108,144.301401820263
202109,145.364600879370
202110,144.754387101836
202111,146.569220491246
202112,148.431711672470
202201,147.350184170096
202202,149.016214604465
202203,147.960262501875
202204,148.849592558006
202205,149.031087499366
202206,150.917526106639
202207,151.652028110481
202208,152.583491701796
202209,152.192532163462
202210,151.764549975154
